LAT_1KM_GRP,LON_1KM_GRP,AREA_NAME,TOTAL_EVENTS
34.14,-118.36,N HOLLYWOOD,734
34.26,-118.53,DEVONSHIRE,733
33.76,-118.29,HARBOR,732
33.79,-118.26,HARBOR,730
34.22,-118.43,MISSION,730
34.21,-118.43,MISSION,730
34.09,-118.26,NORTHEAST,729
33.92,-118.27,SOUTHEAST,729
34.25,-118.45,MISSION,728
34.05,-118.27,CENTRAL,724
33.98,-118.44,PACIFIC,723
34.07,-118.23,CENTRAL,722
34.14,-118.4,N HOLLYWOOD,719
34.01,-118.43,PACIFIC,717
34.22,-118.4,FOOTHILL,716
34.23,-118.53,DEVONSHIRE,715
34.27,-118.41,FOOTHILL,714
34.21,-118.57,TOPANGA,710
34.23,-118.6,TOPANGA,710
34.25,-118.41,FOOTHILL,704
34.26,-118.4,FOOTHILL,703
34.08,-118.26,RAMPART,702
34.16,-118.48,WEST VALLEY,700
34.28,-118.42,FOOTHILL,697
34.26,-118.32,FOOTHILL,696
34.09,-118.21,NORTHEAST,694
34.08,-118.32,OLYMPIC,692
34.19,-118.42,N HOLLYWOOD,691
34.19,-118.5,WEST VALLEY,688
34.0,-118.45,PACIFIC,684
34.25,-118.52,DEVONSHIRE,682
34.1,-118.23,NORTHEAST,681
34.17,-118.36,N HOLLYWOOD,680
34.3,-118.45,MISSION,680
34.11,-118.24,NORTHEAST,676
34.21,-118.37,FOOTHILL,674
34.02,-118.28,NEWTON,669
34.21,-118.39,FOOTHILL,668
34.12,-118.26,NORTHEAST,667
34.14,-118.39,N HOLLYWOOD,664
34.03,-118.42,PACIFIC,661
33.82,-118.3,HARBOR,653
34.26,-118.52,DEVONSHIRE,650
34.21,-118.53,WEST VALLEY,649
34.26,-118.31,FOOTHILL,648
34.08,-118.17,HOLLENBECK,646
33.96,-118.44,PACIFIC,645
34.21,-118.61,TOPANGA,642
34.18,-118.42,VAN NUYS,637
34.0,-118.42,PACIFIC,636
34.21,-118.55,WEST VALLEY,634
33.98,-118.46,PACIFIC,633
33.88,-118.29,SOUTHEAST,630
34.2,-118.56,WEST VALLEY,629
34.2,-118.51,WEST VALLEY,626
34.06,-118.33,WILSHIRE,625
34.25,-118.44,MISSION,624
34.17,-118.57,TOPANGA,619
34.11,-118.26,NORTHEAST,618
34.19,-118.42,VAN NUYS,617
34.01,-118.42,PACIFIC,617
